customerid,recency,frequency,monetary,churned,recency_log,frequency_log,monetary_log,r_score,f_score,m_score,rfm_score,churn_probability,intervention
12346.0,235,1,77183.6,1,5.4638318050256105,0.6931471805599453,11.253955234248428,1,1,5,7,0.82,Save
12747.0,19,8,2769.4,0,2.995732273553991,2.1972245773362196,7.926746993088212,5,5,5,15,0.0,Protect
12748.0,0,131,13388.49,0,0.0,4.882801922586371,9.502225349834381,5,5,5,15,0.0,Protect
12749.0,39,3,2755.23,0,3.6888794541139363,1.3862943611198906,7.9216190829330015,4,4,5,13,0.11,Protect
12820.0,236,1,170.46,0,5.4680601411351315,0.6931471805599453,5.14435000325061,1,1,1,3,0.3,Maintain
12821.0,123,1,92.72,1,4.820281565605037,0.6931471805599453,4.540311613639595,2,1,1,4,0.98,Lost Cause
12823.0,36,4,1224.0,0,3.6109179126442243,1.6094379124341003,7.110696122978827,4,4,4,12,0.02,Protect
12826.0,88,4,818.62,0,4.48863636973214,1.6094379124341003,6.708840818214406,3,4,4,11,0.05,Protect
12828.0,8,3,415.51,0,2.1972245773362196,1.3862943611198906,6.031910470922513,5,4,3,12,0.03,Maintain
12829.0,246,2,293.0,1,5.5093883366279774,1.0986122886681098,5.683579767338681,1,3,2,6,0.88,Lost Cause
12830.0,0,5,6414.32,0,0.0,1.791759469228055,8.766444158892133,5,4,5,14,0.05,Protect
12831.0,171,1,215.05,1,5.147494476813453,0.6931471805599453,5.3755098623779425,2,1,2,5,0.82,Lost Cause
12832.0,7,1,267.8,0,2.0794415416798357,0.6931471805599453,5.5939676086489944,5,1,2,8,0.11,Maintain
12833.0,54,1,417.38,1,4.007333185232471,0.6931471805599453,6.0363901104609745,3,1,3,7,0.8,Lost Cause
12834.0,192,1,312.38,1,5.262690188904886,0.6931471805599453,5.7474165116762626,1,1,2,4,1.0,Lost Cause
12836.0,46,3,2112.53,0,3.8501476017100584,1.3862943611198906,7.656114814370263,4,4,5,13,0.15,Protect
12837.0,82,1,134.1,1,4.418840607796598,0.6931471805599453,4.906015244966153,3,1,1,5,0.28,Maintain
12838.0,283,1,390.79,0,5.648974238161206,0.6931471805599453,5.970725981958582,1,1,3,5,0.13,Maintain
12839.0,1,9,3097.39,0,0.6931471805599453,2.302585092994046,8.03863790072309,5,5,5,15,0.01,Protect
12840.0,53,4,2726.77,1,3.9889840465642745,1.6094379124341003,7.911239704558553,3,4,5,12,0.71,Save
