customerid,Recency,Frequency,Monetary,R_log,F_log,M_log,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Customer_Segment
12346.0,326,1,77183.6,5.7899601708972535,0.6931471805599453,11.253955234248428,1,1,5,115,7,Lost
12747.0,2,11,4196.01,1.0986122886681098,2.4849066497880004,8.342127645985029,5,5,5,555,15,Champions
12748.0,1,206,31650.78,0.6931471805599453,5.332718793265369,10.362549666117287,5,5,5,555,15,Champions
12749.0,4,5,4090.88,1.6094379124341003,1.791759469228055,8.316759801128319,5,4,5,545,14,At Risk
12820.0,3,4,942.34,1.3862943611198906,1.6094379124341003,6.849426769082011,5,4,4,544,13,At Risk
12821.0,214,1,92.72,5.3706380281276624,0.6931471805599453,4.540311613639595,1,1,1,111,3,Lost
12822.0,71,2,948.88,4.276666119016055,1.0986122886681098,6.856335660826602,3,2,4,324,9,Potential Loyalists
12823.0,75,5,1759.5,4.330733340286331,1.791759469228055,7.473353138595107,2,4,4,244,10,At Risk
12824.0,60,1,397.12,4.110873864173311,0.6931471805599453,5.986753467377863,3,1,2,312,6,Potential Loyalists
12826.0,3,7,1474.72,1.3862943611198906,2.0794415416798357,7.296901285267718,5,5,4,554,14,Champions
12827.0,6,3,430.15,1.9459101490553132,1.3862943611198906,6.066456057398334,5,3,2,532,10,At Risk
12828.0,3,6,1018.71,1.3862943611198906,1.9459101490553132,6.927273552128017,5,4,4,544,13,At Risk
12829.0,337,2,293.0,5.823045895483019,1.0986122886681098,5.683579767338681,1,2,2,122,5,Potential Loyalists
12830.0,38,6,6814.64,3.6635616461296463,1.9459101490553132,8.826975250212882,3,4,5,345,12,At Risk
12831.0,262,1,215.05,5.572154032177765,0.6931471805599453,5.3755098623779425,1,1,1,111,3,Lost
12832.0,32,2,383.03000000000003,3.4965075614664802,1.0986122886681098,5.950720674536128,4,2,2,422,8,Potential Loyalists
12833.0,145,1,417.38,4.983606621708336,0.6931471805599453,6.0363901104609745,2,1,2,212,5,Potential Loyalists
12834.0,283,1,312.38,5.648974238161206,0.6931471805599453,5.7474165116762626,1,1,2,112,4,Lost
12836.0,59,4,2610.36,4.0943445622221,1.6094379124341003,7.867626437402386,3,4,5,345,12,At Risk
12837.0,173,1,134.1,5.159055299214529,0.6931471805599453,4.906015244966153,2,1,1,211,4,Potential Loyalists
12838.0,34,2,671.95,3.5553480614894135,1.0986122886681098,6.5116710326797245,3,2,3,323,8,Potential Loyalists
12839.0,3,14,5591.42,1.3862943611198906,2.70805020110221,8.629167388389371,5,5,5,555,15,Champions
12840.0,144,4,2726.77,4.976733742420574,1.6094379124341003,7.911239704558553,2,4,5,245,11,At Risk
12841.0,5,25,3991.58,1.791759469228055,3.258096538021482,8.292192917458863,5,5,5,555,15,Champions
12842.0,70,2,1118.99,4.2626798770413155,1.0986122886681098,7.0210750356778515,3,2,4,324,9,Potential Loyalists
12843.0,66,8,1702.26,4.204692619390966,2.1972245773362196,7.440299340765267,3,5,4,354,12,At Risk
12844.0,29,2,325.96000000000004,3.4011973816621555,1.0986122886681098,5.789837839256022,4,2,2,422,8,Potential Loyalists
12845.0,267,4,354.09000000000003,5.5909869805108565,1.6094379124341003,5.872371278471126,1,4,2,142,7,Loyal Customers
