index,customerid,Recency,Frequency,Monetary,R_log,F_log,M_log,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Customer_Segment,Cluster,Cluster_Label
0,12346.0,326,1,77183.6,5.7899601708972535,0.6931471805599453,11.253955234248428,1,1,5,115,7,Lost,2,Potential Loyals
1,12747.0,2,11,4196.01,1.0986122886681098,2.4849066497880004,8.342127645985029,5,5,5,555,15,Champions,1,Champions
2,12748.0,1,206,31650.78,0.6931471805599453,5.332718793265369,10.362549666117287,5,5,5,555,15,Champions,1,Champions
3,12749.0,4,5,4090.88,1.6094379124341005,1.791759469228055,8.316759801128319,5,4,5,545,14,At Risk,1,Champions
4,12820.0,3,4,942.34,1.3862943611198906,1.6094379124341005,6.849426769082011,5,4,4,544,13,At Risk,3,Lost/Inactive
5,12821.0,214,1,92.72,5.3706380281276624,0.6931471805599453,4.540311613639595,1,1,1,111,3,Lost,0,Loyal Base
6,12822.0,71,2,948.88,4.276666119016055,1.0986122886681098,6.856335660826602,3,2,4,324,9,Potential Loyalists,2,Potential Loyals
7,12823.0,75,5,1759.5,4.330733340286331,1.791759469228055,7.473353138595107,2,4,4,244,10,At Risk,2,Potential Loyals
8,12824.0,60,1,397.12,4.110873864173311,0.6931471805599453,5.986753467377863,3,1,2,312,6,Potential Loyalists,0,Loyal Base
9,12826.0,3,7,1474.72,1.3862943611198906,2.079441541679836,7.296901285267718,5,5,4,554,14,Champions,1,Champions
10,12827.0,6,3,430.15,1.9459101490553128,1.3862943611198906,6.066456057398334,5,3,2,532,10,At Risk,3,Lost/Inactive
11,12828.0,3,6,1018.71,1.3862943611198906,1.9459101490553128,6.927273552128017,5,4,4,544,13,At Risk,1,Champions
12,12829.0,337,2,293.0,5.823045895483019,1.0986122886681098,5.683579767338681,1,2,2,122,5,Potential Loyalists,0,Loyal Base
13,12830.0,38,6,6814.64,3.6635616461296463,1.9459101490553128,8.826975250212882,3,4,5,345,12,At Risk,2,Potential Loyals
14,12831.0,262,1,215.05,5.572154032177765,0.6931471805599453,5.375509862377943,1,1,1,111,3,Lost,0,Loyal Base
15,12832.0,32,2,383.03,3.49650756146648,1.0986122886681098,5.950720674536128,4,2,2,422,8,Potential Loyalists,3,Lost/Inactive
16,12833.0,145,1,417.38,4.983606621708336,0.6931471805599453,6.036390110460975,2,1,2,212,5,Potential Loyalists,0,Loyal Base
17,12834.0,283,1,312.38,5.648974238161206,0.6931471805599453,5.747416511676263,1,1,2,112,4,Lost,0,Loyal Base
18,12836.0,59,4,2610.36,4.0943445622221,1.6094379124341005,7.867626437402386,3,4,5,345,12,At Risk,2,Potential Loyals
19,12837.0,173,1,134.1,5.159055299214529,0.6931471805599453,4.906015244966153,2,1,1,211,4,Potential Loyalists,0,Loyal Base
20,12838.0,34,2,671.95,3.555348061489413,1.0986122886681098,6.5116710326797245,3,2,3,323,8,Potential Loyalists,3,Lost/Inactive
21,12839.0,3,14,5591.42,1.3862943611198906,2.70805020110221,8.629167388389371,5,5,5,555,15,Champions,1,Champions
22,12840.0,144,4,2726.77,4.976733742420574,1.6094379124341005,7.911239704558553,2,4,5,245,11,At Risk,2,Potential Loyals
23,12841.0,5,25,3991.58,1.791759469228055,3.258096538021482,8.292192917458863,5,5,5,555,15,Champions,1,Champions
24,12842.0,70,2,1118.99,4.262679877041316,1.0986122886681098,7.021075035677852,3,2,4,324,9,Potential Loyalists,2,Potential Loyals
25,12843.0,66,8,1702.26,4.204692619390966,2.19722457733622,7.440299340765267,3,5,4,354,12,At Risk,2,Potential Loyals
26,12844.0,29,2,325.96000000000004,3.4011973816621555,1.0986122886681098,5.789837839256022,4,2,2,422,8,Potential Loyalists,3,Lost/Inactive
27,12845.0,267,4,354.09000000000003,5.5909869805108565,1.6094379124341005,5.872371278471126,1,4,2,142,7,Loyal Customers,0,Loyal Base
28,12847.0,22,1,843.64,3.1354942159291497,0.6931471805599453,6.738910501075306,4,1,3,413,8,Potential Loyalists,3,Lost/Inactive
29,12849.0,31,2,992.65,3.4657359027997265,1.0986122886681098,6.901385031974294,4,2,4,424,10,Potential Loyalists,2,Potential Loyals
30,12851.0,97,1,131.81,4.584967478670572,0.6931471805599453,4.88891953541216,2,1,1,211,4,Potential Loyalists,0,Loyal Base
31,12852.0,295,1,311.55,5.69035945432406,0.6931471805599453,5.744764456377822,1,1,2,112,4,Lost,0,Loyal Base
32,12853.0,135,6,1957.1,4.912654885736052,1.9459101490553128,7.579729894309281,2,4,5,245,11,At Risk,2,Potential Loyals
33,12854.0,79,3,1316.25,4.382026634673881,1.3862943611198906,7.183301509089395,2,3,4,234,9,At Risk,2,Potential Loyals
34,12855.0,373,1,38.1,5.924255797414532,0.6931471805599453,3.66612246699132,1,1,1,111,3,Lost,0,Loyal Base
35,12856.0,8,6,2170.78,2.19722457733622,1.9459101490553128,7.683302386789297,5,4,5,545,14,At Risk,1,Champions
36,12857.0,211,2,1106.4,5.356586274672012,1.0986122886681098,7.009770204388867,1,2,4,124,7,Potential Loyalists,0,Loyal Base
37,12863.0,52,1,521.2,3.970291913552122,0.6931471805599453,6.258050656265029,3,1,3,313,7,Potential Loyalists,0,Loyal Base
38,12864.0,138,1,147.12,4.934473933130692,0.6931471805599453,4.998022756045412,2,1,1,211,4,Potential Loyalists,0,Loyal Base
39,12867.0,26,7,4009.34,3.295836866004329,2.079441541679836,8.296631304736238,4,5,5,455,14,At Risk,1,Champions
40,12868.0,186,6,1607.0600000000002,5.231108616854587,1.9459101490553128,7.382783762475618,1,4,4,144,9,Loyal Customers,2,Potential Loyals
41,12871.0,84,2,380.64,4.442651256490317,1.0986122886681098,5.9444777558836455,2,2,2,222,6,Potential Loyalists,0,Loyal Base
42,12872.0,327,2,599.97,5.793013608384144,1.0986122886681098,6.398545016483998,1,2,3,123,6,Potential Loyalists,0,Loyal Base
43,12873.0,282,1,374.0,5.645446897643238,0.6931471805599453,5.926926025970411,1,1,2,112,4,Lost,0,Loyal Base
44,12875.0,143,2,343.2300000000001,4.969813299576001,1.0986122886681098,5.841310038608051,2,2,2,222,6,Potential Loyalists,0,Loyal Base
45,12877.0,4,12,1535.77,1.6094379124341005,2.5649493574615367,7.337438090181038,5,5,4,554,14,Champions,1,Champions
46,12878.0,236,2,854.99,5.468060141135132,1.0986122886681098,6.752258693830513,1,2,3,123,6,Potential Loyalists,0,Loyal Base
47,12879.0,45,3,573.22,3.828641396489095,1.3862943611198906,6.353012598149689,3,3,3,333,9,At Risk,2,Potential Loyals
48,12881.0,276,1,298.0,5.6240175061873385,0.6931471805599453,5.700443573390687,1,1,2,112,4,Lost,0,Loyal Base
49,12882.0,9,2,1463.04,2.302585092994046,1.0986122886681098,7.288955016552379,5,2,4,524,11,Others,3,Lost/Inactive
50,12883.0,25,4,703.47,3.258096538021482,1.6094379124341005,6.55744574703956,4,4,3,443,11,At Risk,2,Potential Loyals
51,12884.0,88,1,309.05,4.48863636973214,0.6931471805599453,5.736733574795887,2,1,2,212,5,Potential Loyalists,0,Loyal Base
52,12885.0,63,3,1175.22,4.158883083359672,1.3862943611198906,7.070061185792191,3,3,4,334,10,At Risk,2,Potential Loyals
53,12886.0,68,2,1378.4,4.23410650459726,1.0986122886681098,7.229403900997191,3,2,4,324,9,Potential Loyalists,2,Potential Loyals
54,12888.0,214,2,354.12,5.3706380281276624,1.0986122886681098,5.87245576052578,1,2,2,122,5,Potential Loyalists,0,Loyal Base
55,12890.0,24,1,376.72,3.218875824868201,0.6931471805599453,5.934153180394868,4,1,2,412,7,Potential Loyalists,3,Lost/Inactive
